offensedescription,offenserace,offensegender,offenseage,offensezip,offensestatus
BMV,W,F,34,75103,Suspended
FV ASSAULT F3,Withheld,Withheld,Withheld,75231,Cleared by Arrest
ACC INV DMG VEH,B,M,57,75217,Suspended
AGG ASSAULT//DEADLY CONDUCT,W,F,33,75119,Suspended
CRIMINAL MISCHIEF,L,F,25,75234,Suspended
NATURAL DEATH,W,M,60,75044,Administratively Closed
BURGLARY OF HABITATION,L,F,57,75228,Suspended
THEFT,L,F,73,75220,Suspended
INJURED PERSON,Withheld,Withheld,Withheld,75216,Suspended
INV OF ASSAULT//ASSAULT MC,Withheld,Withheld,Withheld,75237,Suspended
DUTY ON STRIKE UNATTEND VEH,L,F,53,76123,Suspended
ROBBERY,W,F,49,75223,Suspended
AGG ROBBERY,L,M,31,75211,Suspended
BMV,L,M,22,75227,Suspended
PRISONER PROPERTY,A,M,29,75220,Suspended
UUMV,W,M,31,75243,Suspended
CRIMINAL MISCHIEF,L,F,29,75238,Suspended
HARASSMENT,Withheld,Withheld,Withheld,75220,Suspended
INTERFERENCE W/ CHILD CUSTOD,Withheld,Withheld,Withheld,75217,Cleared by Exceptional Arrest
BMV,W,F,28,75219,Suspended
AGG ASSAULT W / DW,B,M,41,75217,Suspended
ASSAULT F/V M/A,Withheld,Withheld,Withheld,75253,Suspended
HARASSMENT,W,M,43,75216,Unfounded
BMV,B,F,54,75146,Suspended
CRIMINAL MISCHIEF,B,M,53,75223,Cleared by Exceptional Arrest
THEFT,W,F,45,75067,Suspended
BURGLARY OF RESIDENCE,L,M,24,75220,Suspended
FV ASLT M/A//AGG ASSAULT,Withheld,Withheld,Withheld,75231,Cleared by Exceptional Arrest
ASSAULT M/C (FV),Withheld,Withheld,Withheld,75287,Cleared by Arrest
BURGLARY OF MOTOR VEHICLE,L,F,20,75230,Suspended
BMV,W,F,30,75212,Suspended
CRIMINAL MISCHIEF,W,M,49,75240,Suspended
AGG ROBBERY OF INDIVIDUAL,L,M,39,75220,Suspended
THEFT,L,M,25,75228,Suspended
CRIMINAL MISCHIEF,C,M,40,75243,Suspended
THEFT,B,F,40,75217,Suspended
BURGLARY,W,M,23,75214,Suspended
ASSAULT M/C (FV),Withheld,Withheld,Withheld,75216,Cleared by Arrest
INVEST OF THEFT,B,F,34,75237,Suspended
BURGLARY OF HABITATION,L,F,20,75243,Cleared by Exceptional Arrest
DUTY ON STRIKE UNATTEND VEH,B,F,56,75215,Suspended
DOG BITE,Withheld,Withheld,Withheld,75231,Suspended
AGG.ASSAULT W/DEADLY WEAPON,L,F,52,75224,Suspended
CRIMINAL MISCHIEF,L,F,18,75220,Suspended
BMV,L,M,55,75050,Cleared by Exceptional Arrest
BURGLARY OF HABITATION,W,M,26,75214,Suspended
THEFT,W,F,82,75228,Suspended
TERRORISTIC THREAT,B,F,52,75212,Suspended
AGGRAVATED ASSAULT (F/V),B,F,20,75224,Cleared by Arrest
HOME INVASION ROBBERY,B,M,40,75240,Suspended
ASSAULT M/C FV,Withheld,Withheld,Withheld,75227,Cleared by Arrest
AUTO ACCESSORY THEFT,L,M,34,78552,Suspended
ASSAULT F/V,Withheld,Withheld,Withheld,75216,Cleared by Arrest
INJURED PERSON,B,M,29,75201,Suspended
ASSAULT M/A FV,Withheld,Withheld,Withheld,75240,Cleared by Arrest
M/C FMV ASSAULT,Withheld,Withheld,Withheld,75287,Cleared by Arrest
UNAUTHORIZED USE VEHICLE,L,M,21,75233,Suspended
BURGLARY OF RESIDENCE,L,F,25,75238,Suspended
BMV,W,F,18,75244,Suspended
ASSAULT M/C,Withheld,Withheld,Withheld,75224,Cleared by Arrest
ARSON,L,F,32,75253,Suspended
BMV,L,F,27,75051,Suspended
ASSAULT STRANGULATION FV,Withheld,Withheld,Withheld,75216,Cleared by Arrest
ASSAULT M/A,Withheld,Withheld,Withheld,75224,Cleared by Exceptional Arrest
AGG ROBBERY,L,M,29,75231,Suspended
BURGLARY,W,F,29,75228,Suspended
ASSAULT FV M/C,Withheld,Withheld,Withheld,75224,Cleared by Arrest
CONT SEX ASSAULT OF A CHILD,Withheld,Withheld,Withheld,75104,Open
THREATENING PHONE CALLS,B,M,51,75203,Suspended
BMV,L,M,26,75211,Suspended
FOUND PROPERTY,W,F,22,75248,Suspended
BMV,L,F,39,75211,Suspended
INV OF THEFT,B,F,26,75203,Suspended
SEXUAL ASSAULT,Withheld,Withheld,Withheld,75219,Unfounded
HOME INVASION ROBBERY,L,F,63,75241,Suspended
CRIMINAL MISC,B,F,29,75231,Suspended
RESIDENTIAL BURGLARY,B,M,40,75216,Suspended
CRIMINAL MISCHIEF,L,F,44,75211,Suspended
AGG. ROBBERY,B,M,23,75243,Suspended
BMV,L,F,54,75217,Suspended
BMV,B,M,34,75241,Suspended
BURGLARY,C,M,21,75243,Open
UUMV,B,M,65,75216,Suspended
WANT TO LOCATE,B,M,20,75216,Open
UUMV,W,F,50,75216,Unfounded
AGGRAVATED ROBBERY,L,M,21,75216,Suspended
CRIMINAL MISCHIEF,B,F,25,75209,Cleared by Exceptional Arrest
UUMV,L,M,28,75228,Suspended
BURGLARY,B,F,48,75216,Suspended
THEFT AUTO ACCESSORY,W,F,38,75220,Suspended
DUTY ON STRIKE UNATTENDED VEH,L,M,40,75244,Suspended
THEFT,B,F,49,75287,Suspended
UNEXPLAINED DEATH,W,M,60,75206,Administratively Closed
THREATENING CALL/TEXT MESSAG,W,M,47,75203,Suspended
INVESTIGATION OF UUMV,W,F,50,75240,Suspended
INV OF THEFT,W,M,33,75251,Suspended
ASSAULT M/C FAMILY VIOLENCE,Withheld,Withheld,Withheld,75227,Cleared by Arrest
INVEST OF CREDIT CARD ABUSE,W,F,38,75441,Suspended
TERRORISTIC THREAT,B,M,67,75227,Suspended
ASSAULT F/V M/A,Withheld,Withheld,Withheld,75227,Cleared by Arrest
ASSAULT F/V,Withheld,Withheld,Withheld,75211,Cleared by Arrest
ASSAULT M/C,Withheld,Withheld,Withheld,75216,Cleared by Arrest
BMV,B,M,38,75249,Suspended
WANT TO LOCATE,W,M,56,75201,Administratively Closed
DUTY ON STRIKE UNATTEND VEH,B,F,25,75061,Suspended
BMV,W,M,43,75093,Suspended
INVESTIGATION OF THEFT,B,M,27,75231,Suspended
UUMV,L,F,34,75220,Suspended
ASSAULT F/V M/C,Withheld,Withheld,Withheld,75208,Cleared by Arrest
CRIMINAL MISCHIEF,B,F,23,75243,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75227,Suspended
BMV       (PRIMARY),W,M,38,75204,Suspended
RESIDENTIAL BURGLARY,B,F,86,75217,Suspended
ASSAULT F/V MA,Withheld,Withheld,Withheld,75216,Cleared by Arrest
BMV,W,M,46,75206,Suspended
BMV,W,M,28,75204,Suspended
INTERFERENCE W/ CHILD CUSTODY,Withheld,Withheld,Withheld,75227,Cleared by Exceptional Arrest
BMV,L,M,31,75238,Suspended
AUTO ACCESSORY THEFT,L,M,60,75211,Suspended
INTERFERENCE W/ CHILD CUSTOD,Withheld,Withheld,Withheld,75068,Cleared by Exceptional Arrest
INV OF DEBIT CARD ABUSE,W,F,31,75126,Suspended
INV OF UUMV,W,M,32,75206,Suspended
ACC INVOL DAMAGE VEH,W,M,20,76201,Suspended
FLID,L,M,27,76016,Suspended
ASSAULT M/A,Withheld,Withheld,Withheld,75241,Suspended
FOUND PROPERTY,W,F,73,75229,Suspended
ASSAULT MC,Withheld,Withheld,Withheld,75220,Cleared by Arrest
INJURED PERSON,L,F,19,75211,Suspended
DEADLY CONDUCT,W,M,38,78130,Open
INJURY TO A CHILD,Withheld,Withheld,Withheld,75216,Open
UNEXP DEATH NATURAL DEATH,B,M,63,75217,Administratively Closed
ASSAULT F/V M/C,Withheld,Withheld,Withheld,75209,Cleared by Arrest
ASSAULT M/C,Withheld,Withheld,Withheld,75243,Suspended
CRIMINAL MISCHIEF,B,M,34,75224,Suspended
INV OF CRIMINAL MISCHIEF,B,F,39,75231,Suspended
ASSAULT M/A,Withheld,Withheld,Withheld,75216,Cleared by Exceptional Arrest
BURGLARY,B,M,54,75231,Suspended
UUMV/RECOVERED,L,M,33,75217,Cleared by Arrest
INV OF THEFT,B,F,60,75243,Suspended
HARASSING PHONE TEXT MESSAGE,A,F,44,75235,Suspended
AGG ROBBERY W/DW,B,F,18,75237,Cleared by Arrest
ASSAULT F/V M/A,Withheld,Withheld,Withheld,75238,Open
ACC INV DMG VEHICLE,L,F,21,75181,Suspended
BURGLARY,B,M,44,75215,Suspended
THEFT M/B,B,M,55,75154,Suspended
INV. OF CRIMINAL MISCHIEF,B,F,30,75159,Suspended
B.M.V.,L,F,33,75216,Suspended
SEXUAL ASSAULT,Withheld,Withheld,Withheld,75231,Suspended
ACC INV DMG VEHICLE,B,F,26,75243,Suspended
